id,claim,status,source_title,authors,year,venue_or_source,doi_or_url,checked_date,where_used,notes
E001,"LoRA introduces low-rank adaptation as a parameter-efficient fine-tuning method for large language models.","L1-abstract/page checked","LoRA: Low-Rank Adaptation of Large Language Models","Hu et al.","2022","ICLR","https://openreview.net/forum?id=nZeVKeeFYf9","2026-05-25","proposal/opening-report.md","Need full-paper reading note before manuscript use."
E002,"QLoRA is a NeurIPS 2023 method for efficient fine-tuning of quantized LLMs.","L1-page checked","QLoRA: Efficient Finetuning of Quantized LLMs","Dettmers et al.","2023","NeurIPS","https://openreview.net/forum?id=OUIFPHEgJU","2026-05-25","proposal/opening-report.md","Used as PEFT trend background."
E003,"FedAvg is the standard communication-efficient federated learning baseline introduced at AISTATS 2017.","L1-page checked","Communication-Efficient Learning of Deep Networks from Decentralized Data","McMahan et al.","2017","AISTATS","https://research.google.com/pubs/pub44822.html","2026-05-25","proposal/opening-report.md","Used as FL baseline background."
E004,"FLoRA targets federated LLM fine-tuning with heterogeneous LoRA adapters and argues that naive LoRA aggregation can introduce aggregation noise.","L1-abstract/page checked","FLoRA: Federated Fine-Tuning Large Language Models with Heterogeneous Low-Rank Adaptations","Wang et al.","2024","NeurIPS","https://papers.neurips.cc/paper_files/paper/2024/hash/28312c9491d60ed0c77f7fff4ad86dd1-Abstract-Conference.html","2026-05-25","proposal/opening-report.md","Need full-paper reading note for mathematical details."
E005,"FlexLoRA studies federated LLM fine-tuning under heterogeneous tasks and client resources and uses dynamic local LoRA ranks with SVD-based redistribution.","L1-abstract/page checked","Federated Fine-tuning of Large Language Models under Heterogeneous Tasks and Client Resources","Bai et al.","2024","NeurIPS","https://papers.neurips.cc/paper_files/paper/2024/hash/1a134b50202088aa8c595cc99b310e5a-Abstract-Conference.html","2026-05-25","proposal/opening-report.md","Closest related work; must精读."
E006,"FSLoRA uses a sketching mechanism for heterogeneous collaborative LoRA fine-tuning of LLMs.","L1-abstract checked","Federated Sketching LoRA: A Flexible Framework for Heterogeneous Collaborative Fine-Tuning of LLMs","Fang et al.","2025","arXiv","https://arxiv.org/abs/2501.19389","2026-05-25","proposal/opening-report.md","Recent arXiv work; publication status to verify."
E007,"AFLoRA studies adaptive federated LLM fine-tuning with resource-aware low-rank adaptation.","L1-abstract checked","AFLoRA: Adaptive Federated Fine-Tuning of Large Language Models with Resource-Aware Low-Rank Adaption","Zhou et al.","2025","arXiv","https://arxiv.org/abs/2505.24773","2026-05-25","proposal/opening-report.md","Very close related work; must compare novelty carefully."
E008,"FedHDS studies federated data-efficient instruction tuning for large language models and was accepted to ACL Findings 2025 according to the arXiv page.","L1-abstract checked","Federated Data-Efficient Instruction Tuning for Large Language Models","Qin et al.","2025","ACL Findings/arXiv","https://arxiv.org/abs/2410.10926","2026-05-25","proposal/opening-report.md","Used as federated instruction-tuning background, not current baseline."
E009,"GLUE is an ICLR 2019 benchmark for evaluating general language understanding across multiple NLU tasks.","L1-page checked","GLUE: A Multi-Task Benchmark and Analysis Platform for Natural Language Understanding","Wang et al.","2019","ICLR","https://iclr.cc/virtual/2019/poster/845","2026-05-25","proposal/opening-report.md","Candidate benchmark source."
E010,"MultiNLI is a NAACL 2018 natural language inference corpus with broad genre coverage.","L1-page checked","A Broad-Coverage Challenge Corpus for Sentence Understanding through Inference","Williams et al.","2018","NAACL","https://aclanthology.org/N18-1101","2026-05-25","proposal/opening-report.md","Candidate NLI dataset."
E011,"Stanford Sentiment Treebank is an EMNLP 2013 sentiment analysis dataset.","L1-page checked","Recursive Deep Models for Semantic Compositionality Over a Sentiment Treebank","Socher et al.","2013","EMNLP","https://nlp.stanford.edu/sentiment/index.html","2026-05-25","proposal/opening-report.md","Candidate text classification dataset."
E012,"AG News was used in Character-level Convolutional Networks for Text Classification, a NeurIPS 2015 text classification paper.","L1-page checked","Character-level Convolutional Networks for Text Classification","Zhang et al.","2015","NeurIPS","https://papers.nips.cc/paper/5782-character-level-convolutional-networks-for-text-classification","2026-05-25","proposal/opening-report.md","Candidate topic classification dataset."
E013,"SemEval-2013 Task 7 is related to student response analysis and recognizing textual entailment, and can be considered for education-oriented supplemental experiments.","L1-page checked","SemEval-2013 Task 7: The Joint Student Response Analysis and 8th Recognizing Textual Entailment Challenge","Dzikovska et al.","2013","SemEval","https://dblp.org/db/conf/semeval/semeval2013","2026-05-25","proposal/opening-report.md","Need license and dataset access check."
E014,"YOLO-Adapter is a Neurocomputing 2026 adapter-based few-shot object detection paper and can be used only as a writing-style reference for PEFT motivation.","L1-page checked","YOLO-adapter: Beyond full fine-tuning for accurate few-shot object detection","Chiniforoushan and Mohammadi","2026","Neurocomputing","https://doi.org/10.1016/j.neucom.2026.133138","2026-05-25","proposal/opening-report.md","User-provided style example; not technical baseline."
E015,"FedHL studies heterogeneous LoRA in federated learning and explicitly frames truncation and biased gradient updates as theoretical problems.","L1-abstract checked","FedHL: Federated Learning for Heterogeneous Low-Rank Adaptation via Unbiased Aggregation","Peng et al.","2025","arXiv","https://arxiv.org/abs/2505.18494","2026-05-25","proposal/opening-report.md;docs/theory-and-method-plan.md","Use as theory-analysis reference; publication status to verify."
E016,"FedEx-LoRA targets exact aggregation for federated LoRA by addressing inexact updates from traditional federated averaging of LoRA adapters.","L1-abstract checked","FedEx-LoRA: Exact Aggregation for Federated and Efficient Fine-Tuning of Foundation Models","Singhal et al.","2025","ACL/arXiv","https://arxiv.org/abs/2410.09432","2026-05-25","proposal/opening-report.md;docs/theory-and-method-plan.md","Use as aggregation-bias reference."
E017,"EcoLoRA is an EMNLP 2025 communication-efficient federated fine-tuning framework for LLMs based on LoRA segment sharing and adaptive sparsification.","L1-page checked","EcoLoRA: Communication-Efficient Federated Fine-Tuning of Large Language Models","Liu et al.","2025","EMNLP","https://aclanthology.org/2025.emnlp-main.1046/","2026-05-25","proposal/opening-report.md;docs/theory-and-method-plan.md","User mentioned ECLoRA; currently recorded as EcoLoRA pending clarification."
E018,"Computer Networks covers computer and telecommunications networking, including network services, applications, resource management, modeling, and analysis.","L1-journal page checked","Computer Networks","Elsevier","2026","ScienceDirect","https://www.sciencedirect.com/journal/computer-networks","2026-05-25","journal/ccf-targets.md","Target journal candidate; CCF category must be rechecked before submission."
E019,"Journal of Network and Computer Applications welcomes research in computer networks and applications, including educational applications of networked systems.","L1-journal page checked","Journal of Network and Computer Applications","Elsevier","2026","ScienceDirect","https://www.sciencedirect.com/journal/journal-of-network-and-computer-applications","2026-05-25","journal/ccf-targets.md","Target journal candidate; CCF category must be rechecked before submission."
